Index,YY,MM,DD,H,H_Price
1,2013,1,1,0,38
2,2013,1,1,1,24
3,2013,1,1,2,24
4,2013,1,1,3,24
5,2013,1,1,4,24
6,2013,1,1,5,23
7,2013,1,1,6,24
8,2013,1,1,7,22
9,2013,1,1,8,29
10,2013,1,1,9,28
11,2013,1,1,10,28
12,2013,1,1,11,28
13,2013,1,1,12,28
14,2013,1,1,13,28
15,2013,1,1,14,28
16,2013,1,1,15,28
17,2013,1,1,16,28
18,2013,1,1,17,28
19,2013,1,1,18,28
20,2013,1,1,19,28
21,2013,1,1,20,28
22,2013,1,1,21,28
23,2013,1,1,22,23
24,2013,1,1,23,24
1,2013,1,2,0,24
2,2013,1,2,1,30
3,2013,1,2,2,26
4,2013,1,2,3,30
5,2013,1,2,4,26
6,2013,1,2,5,30
7,2013,1,2,6,44
8,2013,1,2,7,23
9,2013,1,2,8,30
10,2013,1,2,9,30
11,2013,1,2,10,29
12,2013,1,2,11,29
13,2013,1,2,12,29
14,2013,1,2,13,29
15,2013,1,2,14,41
16,2013,1,2,15,41
17,2013,1,2,16,44
18,2013,1,2,17,44
19,2013,1,2,18,42
20,2013,1,2,19,40
21,2013,1,2,20,39
22,2013,1,2,21,39
23,2013,1,2,22,34
24,2013,1,2,23,37
1,2013,1,3,0,31
2,2013,1,3,1,37
3,2013,1,3,2,37
4,2013,1,3,3,37
5,2013,1,3,4,37
6,2013,1,3,5,53
7,2013,1,3,6,49
8,2013,1,3,7,49
9,2013,1,3,8,49
10,2013,1,3,9,48
11,2013,1,3,10,48
12,2013,1,3,11,48
13,2013,1,3,12,48
14,2013,1,3,13,48
15,2013,1,3,14,48
16,2013,1,3,15,49
17,2013,1,3,16,49
18,2013,1,3,17,49
19,2013,1,3,18,49
20,2013,1,3,19,48
21,2013,1,3,20,48
22,2013,1,3,21,49
23,2013,1,3,22,43
24,2013,1,3,23,39
1,2013,1,4,0,37
2,2013,1,4,1,37
3,2013,1,4,2,33
4,2013,1,4,3,33
5,2013,1,4,4,35
6,2013,1,4,5,34
7,2013,1,4,6,39
8,2013,1,4,7,44
9,2013,1,4,8,44
10,2013,1,4,9,44
11,2013,1,4,10,44
12,2013,1,4,11,44
13,2013,1,4,12,44
14,2013,1,4,13,44
15,2013,1,4,14,44
16,2013,1,4,15,44
17,2013,1,4,16,44
18,2013,1,4,17,44
19,2013,1,4,18,44
20,2013,1,4,19,44
21,2013,1,4,20,44
22,2013,1,4,21,44
23,2013,1,4,22,37
24,2013,1,4,23,37
1,2013,1,5,0,37
2,2013,1,5,1,31
3,2013,1,5,2,31
4,2013,1,5,3,31
5,2013,1,5,4,31
6,2013,1,5,5,33
7,2013,1,5,6,36
8,2013,1,5,7,37
9,2013,1,5,8,40
10,2013,1,5,9,40
11,2013,1,5,10,44
12,2013,1,5,11,44
13,2013,1,5,12,44
14,2013,1,5,13,44
15,2013,1,5,14,44
16,2013,1,5,15,44
17,2013,1,5,16,44
18,2013,1,5,17,44
19,2013,1,5,18,44
20,2013,1,5,19,44
21,2013,1,5,20,42
22,2013,1,5,21,41
23,2013,1,5,22,40
24,2013,1,5,23,35
1,2013,1,6,0,31
2,2013,1,6,1,30
3,2013,1,6,2,31
4,2013,1,6,3,31
5,2013,1,6,4,31
6,2013,1,6,5,29
7,2013,1,6,6,30
8,2013,1,6,7,34
9,2013,1,6,8,34
10,2013,1,6,9,35
11,2013,1,6,10,39
12,2013,1,6,11,39
13,2013,1,6,12,39
14,2013,1,6,13,39
15,2013,1,6,14,39
16,2013,1,6,15,44
17,2013,1,6,16,40
18,2013,1,6,17,44
19,2013,1,6,18,44
20,2013,1,6,19,40
21,2013,1,6,20,39
22,2013,1,6,21,38
23,2013,1,6,22,44
24,2013,1,6,23,30
1,2013,1,7,0,29
2,2013,1,7,1,33
3,2013,1,7,2,33
4,2013,1,7,3,33
5,2013,1,7,4,33
6,2013,1,7,5,33
7,2013,1,7,6,43
8,2013,1,7,7,49
9,2013,1,7,8,49
10,2013,1,7,9,49
11,2013,1,7,10,49
12,2013,1,7,11,49
13,2013,1,7,12,49
14,2013,1,7,13,49
15,2013,1,7,14,49
16,2013,1,7,15,49
17,2013,1,7,16,50
18,2013,1,7,17,50
19,2013,1,7,18,50
20,2013,1,7,19,49
21,2013,1,7,20,49
22,2013,1,7,21,49
23,2013,1,7,22,33
24,2013,1,7,23,33
1,2013,1,8,0,33
2,2013,1,8,1,31
3,2013,1,8,2,31
4,2013,1,8,3,31
5,2013,1,8,4,31
6,2013,1,8,5,49
7,2013,1,8,6,30
8,2013,1,8,7,44
9,2013,1,8,8,49
10,2013,1,8,9,49
11,2013,1,8,10,49
12,2013,1,8,11,49
13,2013,1,8,12,49
14,2013,1,8,13,49
15,2013,1,8,14,49
16,2013,1,8,15,50
17,2013,1,8,16,50
18,2013,1,8,17,50
19,2013,1,8,18,54
20,2013,1,8,19,50
21,2013,1,8,20,47
22,2013,1,8,21,47
23,2013,1,8,22,36
24,2013,1,8,23,33
1,2013,1,9,0,31
2,2013,1,9,1,30
3,2013,1,9,2,31
4,2013,1,9,3,31
5,2013,1,9,4,31
6,2013,1,9,5,30
7,2013,1,9,6,32
8,2013,1,9,7,41
9,2013,1,9,8,44
10,2013,1,9,9,44
11,2013,1,9,10,44
12,2013,1,9,11,44
13,2013,1,9,12,44
14,2013,1,9,13,44
15,2013,1,9,14,44
16,2013,1,9,15,44
17,2013,1,9,16,44
18,2013,1,9,17,44
19,2013,1,9,18,44
20,2013,1,9,19,43
21,2013,1,9,20,40
22,2013,1,9,21,40
23,2013,1,9,22,33
24,2013,1,9,23,32
1,2013,1,10,0,28
2,2013,1,10,1,28
3,2013,1,10,2,28
4,2013,1,10,3,28
5,2013,1,10,4,28
6,2013,1,10,5,28
7,2013,1,10,6,42
8,2013,1,10,7,43
9,2013,1,10,8,44
10,2013,1,10,9,44
11,2013,1,10,10,44
12,2013,1,10,11,44
13,2013,1,10,12,43
14,2013,1,10,13,41
15,2013,1,10,14,40
16,2013,1,10,15,40
17,2013,1,10,16,40
18,2013,1,10,17,41
19,2013,1,10,18,40
20,2013,1,10,19,40
21,2013,1,10,20,40
22,2013,1,10,21,40
23,2013,1,10,22,38
24,2013,1,10,23,33
1,2013,1,11,0,28
2,2013,1,11,1,28
3,2013,1,11,2,28
4,2013,1,11,3,28
5,2013,1,11,4,28
6,2013,1,11,5,36
7,2013,1,11,6,40
8,2013,1,11,7,40
9,2013,1,11,8,40
10,2013,1,11,9,40
11,2013,1,11,10,40
12,2013,1,11,11,40
13,2013,1,11,12,40
14,2013,1,11,13,40
15,2013,1,11,14,41
16,2013,1,11,15,44
17,2013,1,11,16,44
18,2013,1,11,17,44
19,2013,1,11,18,44
20,2013,1,11,19,44
21,2013,1,11,20,41
22,2013,1,11,21,40
23,2013,1,11,22,40
24,2013,1,11,23,33
1,2013,1,12,0,28
2,2013,1,12,1,28
3,2013,1,12,2,31
4,2013,1,12,3,31
5,2013,1,12,4,31
6,2013,1,12,5,28
7,2013,1,12,6,32
8,2013,1,12,7,41
9,2013,1,12,8,42
10,2013,1,12,9,41
11,2013,1,12,10,43
12,2013,1,12,11,44
13,2013,1,12,12,44
14,2013,1,12,13,44
15,2013,1,12,14,44
16,2013,1,12,15,45
17,2013,1,12,16,46
18,2013,1,12,17,46
19,2013,1,12,18,46
20,2013,1,12,19,45
21,2013,1,12,20,44
22,2013,1,12,21,44
23,2013,1,12,22,44
24,2013,1,12,23,33
1,2013,1,13,0,31
2,2013,1,13,1,33
3,2013,1,13,2,33
4,2013,1,13,3,33
5,2013,1,13,4,33
6,2013,1,13,5,33
7,2013,1,13,6,51
8,2013,1,13,7,49
9,2013,1,13,8,48
10,2013,1,13,9,49
11,2013,1,13,10,49
12,2013,1,13,11,49
13,2013,1,13,12,49
14,2013,1,13,13,48
15,2013,1,13,14,49
16,2013,1,13,15,49
17,2013,1,13,16,54
18,2013,1,13,17,55
19,2013,1,13,18,54
20,2013,1,13,19,54
21,2013,1,13,20,53
22,2013,1,13,21,51
23,2013,1,13,22,51
24,2013,1,13,23,33
1,2013,1,14,0,33
2,2013,1,14,1,33
3,2013,1,14,2,33
4,2013,1,14,3,33
5,2013,1,14,4,33
6,2013,1,14,5,54
7,2013,1,14,6,54
8,2013,1,14,7,55
9,2013,1,14,8,56
10,2013,1,14,9,56
11,2013,1,14,10,56
12,2013,1,14,11,56
13,2013,1,14,12,55
14,2013,1,14,13,55
15,2013,1,14,14,55
16,2013,1,14,15,55
17,2013,1,14,16,55
18,2013,1,14,17,55
19,2013,1,14,18,50
20,2013,1,14,19,49
21,2013,1,14,20,48
22,2013,1,14,21,46
23,2013,1,14,22,31
24,2013,1,14,23,33
1,2013,1,15,0,31
2,2013,1,15,1,33
3,2013,1,15,2,33
4,2013,1,15,3,33
5,2013,1,15,4,32
6,2013,1,15,5,36
7,2013,1,15,6,50
8,2013,1,15,7,50
9,2013,1,15,8,50
10,2013,1,15,9,53
11,2013,1,15,10,53
12,2013,1,15,11,51
13,2013,1,15,12,51
14,2013,1,15,13,52
15,2013,1,15,14,54
16,2013,1,15,15,54
17,2013,1,15,16,56
18,2013,1,15,17,56
19,2013,1,15,18,56
20,2013,1,15,19,54
21,2013,1,15,20,53
22,2013,1,15,21,52
23,2013,1,15,22,33
24,2013,1,15,23,33
1,2013,1,16,0,33
2,2013,1,16,1,33
3,2013,1,16,2,33
4,2013,1,16,3,33
5,2013,1,16,4,33
6,2013,1,16,5,54
7,2013,1,16,6,54
8,2013,1,16,7,56
9,2013,1,16,8,61
10,2013,1,16,9,70
11,2013,1,16,10,56
12,2013,1,16,11,56
13,2013,1,16,12,56
14,2013,1,16,13,56
15,2013,1,16,14,56
16,2013,1,16,15,56
17,2013,1,16,16,60
18,2013,1,16,17,70
19,2013,1,16,18,56
20,2013,1,16,19,54
21,2013,1,16,20,54
22,2013,1,16,21,54
23,2013,1,16,22,33
24,2013,1,16,23,33
1,2013,1,17,0,33
2,2013,1,17,1,33
3,2013,1,17,2,33
4,2013,1,17,3,33
5,2013,1,17,4,33
6,2013,1,17,5,33
7,2013,1,17,6,52
8,2013,1,17,7,53
9,2013,1,17,8,59
10,2013,1,17,9,60
11,2013,1,17,10,58
12,2013,1,17,11,56
13,2013,1,17,12,54
14,2013,1,17,13,54
15,2013,1,17,14,54
16,2013,1,17,15,54
17,2013,1,17,16,55
18,2013,1,17,17,60
19,2013,1,17,18,56
20,2013,1,17,19,54
21,2013,1,17,20,53
22,2013,1,17,21,52
